emoji,unicode,r,g,b,hex_color
"💩",128169,168,111,114,"#a86f72"
"🤡",129313,213,147,191,"#d593bf"
"👹",128121,155,71,114,"#9b4772"
"👺",128122,208,74,114,"#d04a72"
"👻",128123,223,192,217,"#dfc0d9"
"👽",128125,116,180,107,"#74b46b"
"👾",128126,111,90,161,"#6f5aa1"
"🤖",129302,169,130,161,"#a982a1"
"😺",128570,241,161,63,"#f1a13f"
"😸",128568,240,160,63,"#f0a03f"
"😹",128569,216,149,86,"#d89556"
"😻",128571,242,142,71,"#f28e47"
"😼",128572,240,162,62,"#f0a23e"
"😽",128573,240,153,67,"#f09943"
"🙀",128576,243,177,84,"#f3b154"
"😿",128575,234,162,70,"#eaa246"
"😾",128574,239,162,62,"#efa23e"
"🙈",128584,158,102,110,"#9e666e"
"🙉",128585,168,109,123,"#a86d7b"
"🙊",128586,168,113,117,"#a87175"
"💌",128140,231,167,198,"#e7a7c6"
"💘",128152,222,64,120,"#de4078"
"💝",128157,241,109,86,"#f16d56"
"💖",128150,243,72,105,"#f34869"
"💗",128151,249,118,182,"#f976b6"
"💓",128147,242,57,111,"#f2396f"
"💞",128158,242,58,112,"#f23a70"
"💕",128149,241,57,112,"#f13970"
"💟",128159,174,146,229,"#ae92e5"
"❣",10083,0,0,0,"#000000"
"💔",128148,240,56,111,"#f0386f"
"❤",10084,0,0,0,"#000000"
"🔥",128293,244,132,62,"#f4843e"
"🩹",129657,64,174,236,"#40aeec"
"🩷",129655,245,76,164,"#f54ca4"
"🧡",129505,252,117,76,"#fc754c"
"💛",128155,252,188,76,"#fcbc4c"
"💚",128154,62,193,128,"#3ec180"
"💙",128153,66,125,247,"#427df7"
"🩵",129653,88,174,239,"#58aeef"
"💜",128156,154,59,244,"#9a3bf4"
"🤎",129294,165,101,99,"#a56563"
"🖤",128420,70,57,80,"#463950"
"🩶",129654,163,156,171,"#a39cab"
"🤍",129293,225,215,235,"#e1d7eb"
"💋",128139,234,49,120,"#ea3178"
"💯",128175,231,13,87,"#e70d57"
"💢",128162,228,34,109,"#e4226d"
"💥",128165,231,40,82,"#e72852"
"💫",128171,251,191,44,"#fbbf2c"
"💦",128166,55,191,246,"#37bff6"
"🕳",128371,0,0,0,"#000000"
"💬",128172,223,214,236,"#dfd6ec"
"👁",128065,0,0,0,"#000000"
